,estimate,estimate,estimate,estimate,estimate,estimate,stddev,stddev,stddev,stddev,stddev,stddev
indicator,Control of Corruption,Government Effectiveness,Political Stability and Absence of Violence/Terrorism,Rule of Law,Regulatory Quality,Voice and Accountability,Control of Corruption,Government Effectiveness,Political Stability and Absence of Violence/Terrorism,Rule of Law,Regulatory Quality,Voice and Accountability
CHE,2.009361982345581,2.0494349002838135,1.1597453355789185,1.7511883974075317,1.6201130151748657,1.6213468313217163,0.19702287018299103,0.2654722034931183,0.23271167278289795,0.1812354028224945,0.2597774267196655,0.15174269676208496
CHL,0.9681240320205688,0.5462182760238647,0.13208432495594025,0.6884544491767883,0.9784111380577087,0.9767693877220154,0.15818484127521515,0.24451421201229095,0.22655731439590454,0.1613672524690628,0.2129831314086914,0.12792588770389557
CHN,0.016063671559095383,0.4942125380039215,-0.4512767195701599,-0.04217629134654999,-0.41841763257980347,-1.6013710498809814,0.1538962721824646,0.24794547259807587,0.2140864133834839,0.1645098775625229,0.2129831314086914,0.1261308640241623
CIV,-0.33870556950569153,-0.3337724208831787,-0.5872665047645569,-0.47401824593544006,-0.15201295912265778,-0.39304232597351074,0.14755292236804962,0.20399898290634155,0.23304978013038635,0.14628832042217255,0.1735120415687561,0.12050865590572357
CMR,-1.1297142505645752,-0.8815078139305115,-1.3796292543411255,-1.038935661315918,-0.8988894820213318,-1.1472535133361816,0.14755292236804962,0.20399898290634155,0.23304978013038635,0.14628832042217255,0.1735120415687561,0.12050865590572357
COG,-1.3597794771194458,-1.3700981140136719,0.038993820548057556,-1.0903462171554565,-1.261431336402893,-1.1991946697235107,0.15819647908210754,0.23387479782104492,0.23304978013038635,0.16284744441509247,0.20144961774349213,0.12137621641159058
COK,0.048412077128887177,-0.16366687417030334,1.1647605895996094,-0.5519689917564392,-0.07676299661397934,0.8737214803695679,1.0598628520965576,0.8764113783836365,0.5509620308876038,0.9431777596473694,0.6071799397468567,0.5260359644889832
COL,-0.3620881140232086,0.013796379789710045,-0.6299583315849304,-0.4277602434158325,0.1404491662979126,0.16868717968463898,0.15818484127521515,0.24451421201229095,0.22655731439590454,0.1613672524690628,0.2129831314086914,0.12792588770389557
COM,-1.2449918985366821,-1.6830567121505737,-0.2264113575220108,-1.3146048784255981,-1.2005380392074585,-0.8513242602348328,0.2329496443271637,0.26105931401252747,0.27779126167297363,0.22883540391921997,0.22381475567817688,0.18242715299129486
CPV,0.9598752856254578,0.02083592861890793,0.927069365978241,0.39866092801094055,0.26368221640586853,0.9460427165031433,0.2039395570755005,0.2470690906047821,0.24822673201560974,0.17644032835960388,0.25433090329170227,0.14450624585151672
